,Timestamp,Station,Sensor,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC10,TypicalParticleSize,PM1.0,PM2.5,PM4.0,PM10,Session Id
60,2021-10-12 07:52:08,Gullmarsplan,5,18.4,37.8,3.93,4.73,4.86,4.89,0.75,0.61,0.75,0.84,0.85,20211012-2
61,2021-10-12 07:52:08,Gullmarsplan,6,18.1,38.5,5.06,6.07,6.23,6.26,0.57,0.78,0.96,1.07,1.09,20211012-2
62,2021-10-12 07:52:09,Gullmarsplan,1,18.6,38.0,3.87,4.84,5.08,5.13,0.71,0.64,0.89,1.06,1.09,20211012-2
63,2021-10-12 07:52:09,Gullmarsplan,2,18.0,39.7,5.0,6.28,6.59,6.66,0.73,0.83,1.16,1.39,1.43,20211012-2
64,2021-10-12 07:52:09,Gullmarsplan,3,18.0,39.3,4.71,6.23,6.75,6.85,0.82,0.85,1.37,1.75,1.83,20211012-2
65,2021-10-12 07:52:09,Gullmarsplan,6,18.0,38.6,4.9,5.88,6.04,6.07,0.57,0.76,0.93,1.03,1.06,20211012-2
66,2021-10-12 07:52:10,Gullmarsplan,1,18.6,37.9,3.81,4.76,5.0,5.05,0.7,0.63,0.87,1.04,1.07,20211012-2
67,2021-10-12 07:52:10,Gullmarsplan,2,18.0,39.7,4.97,6.24,6.56,6.62,0.73,0.82,1.15,1.38,1.43,20211012-2
68,2021-10-12 07:52:10,Gullmarsplan,3,18.0,39.2,4.63,6.13,6.63,6.73,0.82,0.83,1.35,1.72,1.8,20211012-2
69,2021-10-12 07:52:10,Gullmarsplan,4,18.7,38.1,4.87,6.27,6.69,6.77,0.82,0.84,1.27,1.58,1.64,20211012-2
70,2021-10-12 07:52:10,Gullmarsplan,5,18.4,37.8,3.96,4.76,4.89,4.91,0.74,0.61,0.75,0.83,0.85,20211012-2
71,2021-10-12 07:52:10,Gullmarsplan,6,18.0,38.6,4.54,5.45,5.59,5.62,0.57,0.7,0.86,0.96,0.98,20211012-2
72,2021-10-12 07:52:11,Gullmarsplan,1,18.6,37.9,3.74,4.69,4.93,4.98,0.71,0.62,0.87,1.04,1.07,20211012-2
73,2021-10-12 07:52:11,Gullmarsplan,2,18.0,39.6,5.03,6.33,6.65,6.71,0.74,0.84,1.17,1.41,1.45,20211012-2
74,2021-10-12 07:52:11,Gullmarsplan,3,18.0,39.3,4.54,6.05,6.58,6.69,0.83,0.83,1.36,1.75,1.83,20211012-2
75,2021-10-12 07:52:11,Gullmarsplan,4,18.7,38.1,4.83,6.18,6.58,6.66,0.8,0.83,1.23,1.52,1.58,20211012-2
76,2021-10-12 07:52:11,Gullmarsplan,5,18.4,37.8,4.03,4.84,4.97,4.99,0.74,0.62,0.76,0.85,0.86,20211012-2
77,2021-10-12 07:52:11,Gullmarsplan,5,18.4,37.8,4.08,4.91,5.04,5.07,0.74,0.63,0.78,0.87,0.89,20211012-2
78,2021-10-12 07:52:11,Gullmarsplan,6,18.1,38.7,4.34,5.21,5.35,5.38,0.57,0.67,0.82,0.92,0.93,20211012-2
79,2021-10-12 07:52:12,Gullmarsplan,1,18.7,37.9,3.71,4.64,4.87,4.91,0.71,0.61,0.85,1.01,1.05,20211012-2
80,2021-10-12 07:52:12,Gullmarsplan,2,18.0,39.6,5.09,6.39,6.7,6.77,0.73,0.84,1.17,1.4,1.45,20211012-2
81,2021-10-12 07:52:12,Gullmarsplan,3,17.9,39.2,4.63,6.13,6.64,6.74,0.81,0.84,1.35,1.72,1.8,20211012-2
82,2021-10-12 07:52:12,Gullmarsplan,4,18.7,38.1,4.78,6.11,6.48,6.56,0.79,0.82,1.21,1.49,1.54,20211012-2
83,2021-10-12 07:52:12,Gullmarsplan,6,18.0,38.7,4.25,5.1,5.22,5.25,0.56,0.66,0.8,0.89,0.9,20211012-2
84,2021-10-12 07:52:13,Gullmarsplan,1,18.7,37.9,3.63,4.54,4.77,4.82,0.71,0.6,0.83,0.99,1.02,20211012-2
85,2021-10-12 07:52:13,Gullmarsplan,2,18.0,39.6,5.19,6.49,6.8,6.86,0.73,0.85,1.18,1.4,1.45,20211012-2
86,2021-10-12 07:52:13,Gullmarsplan,3,18.0,39.2,4.69,6.18,6.67,6.77,0.8,0.84,1.34,1.71,1.78,20211012-2
87,2021-10-12 07:52:13,Gullmarsplan,4,18.7,38.1,4.74,6.03,6.4,6.47,0.79,0.8,1.18,1.45,1.5,20211012-2
