,Timestamp,Station,Sensor,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC10,TypicalParticleSize,PM1.0,PM2.5,PM4.0,PM10,Session Id
55,2021-10-11 16:56:41,Odenplan,E,22.5,48.5,80.95,119.32,135.85,139.29,1.01,17.15,33.22,45.44,47.88,20211011-3
56,2021-10-11 16:56:42,Odenplan,A,22.5,48.3,69.27,100.78,114.18,116.94,1.04,14.41,27.38,37.22,39.18,20211011-3
57,2021-10-11 16:56:42,Odenplan,B,22.5,47.5,73.01,107.5,122.34,125.34,1.06,15.44,30.19,41.4,43.65,20211011-3
58,2021-10-11 16:56:42,Odenplan,B,22.5,47.4,72.61,106.96,121.74,124.73,1.06,15.37,30.05,41.23,43.46,20211011-3
59,2021-10-11 16:56:42,Odenplan,C,22.5,48.1,70.99,106.86,122.74,125.89,1.04,15.5,31.42,43.58,46.01,20211011-3
60,2021-10-11 16:56:42,Odenplan,D,22.4,47.9,66.65,97.76,111.17,113.92,1.02,14.03,26.99,36.84,38.8,20211011-3
61,2021-10-11 16:56:42,Odenplan,E,22.5,48.5,80.91,119.36,135.95,139.4,1.01,17.16,33.29,45.54,47.99,20211011-3
62,2021-10-11 16:56:43,Odenplan,A,22.6,48.3,69.25,100.78,114.19,116.95,1.04,14.41,27.39,37.23,39.2,20211011-3
63,2021-10-11 16:56:43,Odenplan,C,22.5,48.0,70.83,106.8,122.76,125.92,1.05,15.5,31.49,43.71,46.16,20211011-3
64,2021-10-11 16:56:43,Odenplan,D,22.4,47.9,66.42,97.49,110.88,113.63,1.02,13.99,26.95,36.78,38.75,20211011-3
65,2021-10-11 16:56:43,Odenplan,E,22.6,48.5,81.02,119.66,136.37,139.85,1.02,17.21,33.46,45.8,48.27,20211011-3
66,2021-10-11 16:56:44,Odenplan,A,22.5,48.5,69.3,100.84,114.25,117.0,1.03,14.41,27.4,37.24,39.21,20211011-3
67,2021-10-11 16:56:44,Odenplan,B,22.5,47.3,72.19,106.35,121.04,124.02,1.06,15.28,29.89,41.0,43.22,20211011-3
68,2021-10-11 16:56:44,Odenplan,C,22.5,47.9,70.86,106.98,123.03,126.21,1.06,15.54,31.62,43.91,46.37,20211011-3
69,2021-10-11 16:56:44,Odenplan,D,22.4,48.3,66.24,97.32,110.73,113.49,1.02,13.97,26.95,36.81,38.78,20211011-3
70,2021-10-11 16:56:44,Odenplan,E,22.5,48.4,81.04,119.87,136.69,140.19,1.02,17.25,33.6,46.03,48.51,20211011-3
71,2021-10-11 16:56:44,Odenplan,E,22.6,48.4,80.83,119.72,136.61,140.12,1.02,17.24,33.65,46.12,48.62,20211011-3
72,2021-10-11 16:56:45,Odenplan,A,22.6,48.6,69.14,100.59,113.95,116.7,1.03,14.38,27.32,37.13,39.09,20211011-3
73,2021-10-11 16:56:45,Odenplan,B,22.5,47.3,71.87,105.83,120.43,123.38,1.05,15.2,29.71,40.75,42.96,20211011-3
